,user_of_ibbwifi,ibbwifiuser_divpopulation,Ilce_Nufus2023,Haftalik_Spor_Yapmayanlar,Haftalik_Spor_Yapanlar,Ortalama_Ikametgah_Suresi,Üye,Ilçe_Ait hissetmiyorum,Ilçe_Ne ait hissediyorum ne hissetmiyorum,Ilçe_Ait hissediyorum,Tatil_Yapmayanlar,Tatil_Yapanlar, Ev_Sahibi, Ev_Sahibi_Degil,Ortalama Brüt (m2),Ortalama Net (m2), Hiz_Memnunum, Hiz_Ne Memnunum Ne Memnun Degilim, Hiz_Memnun Degilim, Hiz_Emin Degilim / Fikrim Yok, Fiyat_Memnunum,Baglanti kopma sorunu_Memnunum,Müsteri Hizmetleri_Memnunum,Evcil Hayvan_Var,Sosyal Yardim Alma_Evet,Ortalama Hanehalki Büyüklügü 2023,EvselAtik,EvselAtik_kisibasi,Average of SES
user_of_ibbwifi,1.0,0.9208332046767709,0.04411052791908237,0.18239693265113321,-0.10115033860376384,-0.013304287214800427,-0.030382807237686885,0.02064728817309276,0.32637315934428823,0.07625292651099587,0.011699689833996791,0.48495198887482716,0.09685562645076029,0.1594201746795134,-0.5465819047082853,-0.4896957948009944,0.15637727821882014,0.19266664642558476,0.16428291779660675,0.19382488446883253,0.14657005688113825,0.1609196845960911,0.19588969885763727,0.010878609139621012,-0.07314436276296539,-0.02202242061514364,0.1960590055753241,0.14141933021410805,-0.11103576045908178
ibbwifiuser_divpopulation,0.9208332046767709,1.0,-0.2491553117721581,-0.09116573584447743,-0.28978971873226506,0.15449190293635987,-0.013360122739898287,-0.21812644461348774,0.09681627337844706,-0.1929376283429709,-0.25697377197404414,0.4757529914915861,-0.21746354372242283,-0.09423910903419781,-0.5787786230527169,-0.5373804682841393,0.021673230588182837,0.0744819091206213,0.013424271551407662,0.12910016207746564,0.02535257248190618,0.03262907289016346,0.06459928743710376,-0.10028768587374849,-0.1855195286463171,-0.16354910679703907,-0.07955003133223801,0.36251948560140607,-0.03018561375928079
Ilce_Nufus2023,0.04411052791908237,-0.2491553117721581,1.0,0.8815563549509995,0.6325952466016522,-0.5905925084093687,0.13311989943720942,0.7451972998505524,0.7448914741716323,0.8488580503774192,0.9260335827797119,-0.09962358378708125,0.8936329623852781,0.9409363408271587,0.02883616794287388,0.047070099201812765,0.40360318485661323,0.6225644502831004,0.40868330277945414,0.34221221389873224,0.3760728968000074,0.3969330110813552,0.3802673026185876,0.29100179837499524,0.5562251371231746,0.47821373738453293,0.9208397764645373,-0.6073179876053258,-0.2233004404346473
Haftalik_Spor_Yapmayanlar,0.18239693265113321,-0.09116573584447743,0.8815563549509995,1.0,0.49668656623154095,-0.5067950822457238,0.05930968898037635,0.6319345620695445,0.8393239510608951,0.8485705108511366,0.8913642797708473,-0.0004006175410160033,0.8965361726135168,0.918192750133027,-0.1165233899253434,-0.07949373128381829,0.4440911658756455,0.7053629248822385,0.35728005569646976,0.414371726742985,0.42728120622951604,0.4425021603399658,0.4093518617219794,0.3389141786554954,0.5435279706391336,0.12861535243040523,0.8577340837163434,-0.379716500871818,-0.03792024809908589
Haftalik_Spor_Yapanlar,-0.10115033860376384,-0.28978971873226506,0.6325952466016522,0.49668656623154095,1.0,-0.4119398379393744,0.3413978836286882,0.6742447889282924,0.4786836265933394,0.5678553847275686,0.5864587232961685,-0.1630654528360529,0.6831266503695482,0.5739324253302787,0.2009834118302809,0.24200996194757438,0.34101570843824963,0.21271157063195908,0.3922749760533254,-0.09464033942767078,0.3193506119402974,0.33324639871349365,0.28488730931845185,0.4333254161013018,0.09969149245165786,0.11287656455202418,0.641107288139324,-0.2588488607007711,0.24570193281614255
Ortalama_Ikametgah_Suresi,-0.013304287214800427,0.15449190293635987,-0.5905925084093687,-0.5067950822457238,-0.4119398379393744,1.0,-0.07165790262230917,-0.44325676407291703,-0.4901322000022965,-0.4595379903895674,-0.5297273572401245,0.2277510931098631,-0.49131881587812504,-0.5633783481814788,-0.04746221197938964,-0.05019220217498113,-0.2698618519927304,-0.4331379546983993,-0.25788686732927096,-0.11094860262692008,-0.2655941958758059,-0.2510913075817367,-0.2064991139623124,-0.12370038226424239,-0.3530291027889922,-0.33444746287815885,-0.5170560985711982,0.40417847899229536,0.02282569574541955
Üye,-0.030382807237686885,-0.013360122739898287,0.13311989943720942,0.05930968898037635,0.3413978836286882,-0.07165790262230917,1.0,0.028448033947217687,-0.03520965718444129,0.27738654699300763,-0.08793695624688536,0.18116339044256047,0.11169729092788852,0.18704671842132994,0.009362251724945415,-0.040254862078982136,0.5647705599209745,0.10786248718694082,0.4753164123051353,-0.019480601820147585,0.607281042496719,0.5875650297648789,0.5777289094876027,0.6315046101502017,-0.2824092468249535,-0.11413704942172893,0.18015375221959018,-0.047994838054146685,0.31558631167005763
Ilçe_Ait hissetmiyorum,0.02064728817309276,-0.21812644461348774,0.7451972998505524,0.6319345620695445,0.6742447889282924,-0.44325676407291703,0.028448033947217687,1.0,0.6899942416922678,0.43590263417783004,0.7769690006437117,-0.08613739268598478,0.6626908890318616,0.6937602502983214,-0.010661557585878306,0.011004450568567697,0.04630377266299349,0.2306343293687147,0.2180388524146063,0.10392951283167703,0.026586974577745726,0.03409640165141544,0.02102294340131151,0.07863811207053623,0.4163248573552513,0.4666859214520028,0.7114115688336891,-0.41906139943447673,-0.2580017638993369
Ilçe_Ne ait hissediyorum ne hissetmiyorum,0.32637315934428823,0.09681627337844706,0.7448914741716323,0.8393239510608951,0.4786836265933394,-0.4901322000022965,-0.03520965718444129,0.6899942416922678,1.0,0.5331543069277525,0.8140320918339687,0.024177625057640564,0.7261531472616318,0.8002816468867135,-0.15558846495250458,-0.09933872933248208,0.14813933891777417,0.6073864140942302,0.07845101782875823,0.3296647933605755,0.10915518658853512,0.12699639853510267,0.10551166161826721,0.09574816793918067,0.5347551117888346,0.14257864041955146,0.7600422576080639,-0.2556555718493485,-0.048971881068134854
Ilçe_Ait hissediyorum,0.07625292651099587,-0.1929376283429709,0.8488580503774192,0.8485705108511366,0.5678553847275686,-0.4595379903895674,0.27738654699300763,0.43590263417783004,0.5331543069277525,1.0,0.7354496478262719,-0.028531443574642164,0.9020849125960754,0.8433718138203827,0.014556636618751811,0.01858293594508165,0.7182122581801804,0.5937083026162627,0.6090923039821122,0.2509224866320393,0.7061891409182358,0.7248183688842813,0.6926539126142275,0.5971660004774147,0.2933490975008653,0.10581614031273141,0.8176206259144383,-0.44918990118195395,0.0856734328292929
Tatil_Yapmayanlar,0.011699689833996791,-0.25697377197404414,0.9260335827797119,0.8913642797708473,0.5864587232961685,-0.5297273572401245,-0.08793695624688536,0.7769690006437117,0.8140320918339687,0.7354496478262719,1.0,-0.2589603003223677,0.8472958681675649,0.9004294134750954,0.04594399219858705,0.07430512397402567,0.14893375668682654,0.5689206912029906,0.13658083592376158,0.31847240789289216,0.13272710993466239,0.14851615674479363,0.10883820387241357,0.07192210725767337,0.6998244972448473,0.3789007004694678,0.856306936966596,-0.4611345557264224,-0.1954246939799623
Tatil_Yapanlar,0.48495198887482716,0.4757529914915861,-0.09962358378708125,-0.0004006175410160033,-0.1630654528360529,0.2277510931098631,0.18116339044256047,-0.08613739268598478,0.024177625057640564,-0.028531443574642164,-0.2589603003223677,1.0,-0.02022590644340124,-0.08475334105517146,-0.5961215090019004,-0.5339746825263294,0.3219662662713199,0.17707228216271503,0.42902482137825265,0.3702637791979064,0.31656878953039264,0.3160217688176815,0.37717725441206845,0.20637076904387536,-0.28315602902761416,-0.034746528505752806,-0.06025061710285936,0.010794611399431801,-0.09599391245273572
 Ev_Sahibi,0.09685562645076029,-0.21746354372242283,0.8936329623852781,0.8965361726135168,0.6831266503695482,-0.49131881587812504,0.11169729092788852,0.6626908890318616,0.7261531472616318,0.9020849125960754,0.8472958681675649,-0.02022590644340124,1.0,0.8297227385687147,0.029790409851071807,0.08379943355926456,0.5134603871653706,0.5645124443945645,0.4836291091246834,0.27277965807626464,0.48839738840539226,0.5182250992237362,0.48959656069429364,0.4455739555565232,0.4014417266466693,0.182663214358915,0.8438382928007117,-0.5035198083231429,0.057625269471482825
 Ev_Sahibi_Degil,0.1594201746795134,-0.09423910903419781,0.9409363408271587,0.918192750133027,0.5739324253302787,-0.5633783481814788,0.18704671842132994,0.6937602502983214,0.8002816468867135,0.8433718138203827,0.9004294134750954,-0.08475334105517146,0.8297227385687147,1.0,-0.08748609052322692,-0.09018246489888489,0.4316059042177825,0.6760532600624222,0.39468629237717384,0.29914729223617587,0.4097100335531101,0.4184249156136433,0.39702898465418207,0.32948370163902535,0.5281924851844731,0.27924282933110806,0.9446732435565592,-0.3852918093154181,-0.12029397021846726
Ortalama Brüt (m2),-0.5465819047082853,-0.5787786230527169,0.02883616794287388,-0.1165233899253434,0.2009834118302809,-0.04746221197938964,0.009362251724945415,-0.010661557585878306,-0.15558846495250458,0.014556636618751811,0.04594399219858705,-0.5961215090019004,0.029790409851071807,-0.08748609052322692,1.0,0.9682223093848494,-0.12281046015313475,-0.19046183952911258,-0.2903883338596478,-0.2549787794189611,-0.11238555174118775,-0.1319321658058803,-0.15435124809738704,-0.05809012377308214,0.12058476722278332,0.03051302496250763,-0.04908209957026306,-0.28245859708111687,0.233227134865248
Ortalama Net (m2),-0.4896957948009944,-0.5373804682841393,0.047070099201812765,-0.07949373128381829,0.24200996194757438,-0.05019220217498113,-0.040254862078982136,0.011004450568567697,-0.09933872933248208,0.01858293594508165,0.07430512397402567,-0.5339746825263294,0.08379943355926456,-0.09018246489888489,0.9682223093848494,1.0,-0.1491548035038809,-0.13176925298954803,-0.2765277481306844,-0.21091046004125844,-0.1371697745147357,-0.14633930183052057,-0.18064413879540966,-0.09725240164956492,0.1645281242942401,0.032044839765029164,-0.017507834509018154,-0.3030109554120928,0.26701140962938735
 Hiz_Memnunum,0.15637727821882014,0.021673230588182837,0.40360318485661323,0.4440911658756455,0.34101570843824963,-0.2698618519927304,0.5647705599209745,0.04630377266299349,0.14813933891777417,0.7182122581801804,0.14893375668682654,0.3219662662713199,0.5134603871653706,0.4316059042177825,-0.12281046015313475,-0.1491548035038809,1.0,0.3419906825779345,0.805779684969221,0.11035841163824803,0.9775341443298051,0.9855430643366527,0.9840916090882302,0.8769880416441058,-0.2798234014015282,-0.15645005155609035,0.4202510414458217,-0.2594176097869222,0.27587845633693314
 Hiz_Ne Memnunum Ne Memnun Degilim,0.19266664642558476,0.0744819091206213,0.6225644502831004,0.7053629248822385,0.21271157063195908,-0.4331379546983993,0.10786248718694082,0.2306343293687147,0.6073864140942302,0.5937083026162627,0.5689206912029906,0.17707228216271503,0.5645124443945645,0.6760532600624222,-0.19046183952911258,-0.13176925298954803,0.3419906825779345,1.0,0.27321185015154237,0.6592543670533743,0.35570638025856116,0.3628619582572898,0.33190736077119193,0.1803994771989507,0.6109472277998222,0.10430741476948027,0.595512122009314,-0.21405615922013496,-0.0016900898328442062
 Hiz_Memnun Degilim,0.16428291779660675,0.013424271551407662,0.40868330277945414,0.35728005569646976,0.3922749760533254,-0.25788686732927096,0.4753164123051353,0.2180388524146063,0.07845101782875823,0.6090923039821122,0.13658083592376158,0.42902482137825265,0.4836291091246834,0.39468629237717384,-0.2903883338596478,-0.2765277481306844,0.805779684969221,0.27321185015154237,1.0,0.09591181589946467,0.7987295979810337,0.8122171930674484,0.8271822799941945,0.72349884319831,-0.27564479139745846,0.04109349296431866,0.43136681272243643,-0.2377074102723823,0.09129465080759172
 Hiz_Emin Degilim / Fikrim Yok,0.19382488446883253,0.12910016207746564,0.34221221389873224,0.414371726742985,-0.09464033942767078,-0.11094860262692008,-0.019480601820147585,0.10392951283167703,0.3296647933605755,0.2509224866320393,0.31847240789289216,0.3702637791979064,0.27277965807626464,0.29914729223617587,-0.2549787794189611,-0.21091046004125844,0.11035841163824803,0.6592543670533743,0.09591181589946467,1.0,0.13345326212659933,0.13487201311658237,0.160696065546903,-0.07764664215663636,0.591418415783609,0.31132735660094796,0.1661001964871949,-0.3502020011713545,-0.32380187360275187
 Fiyat_Memnunum,0.14657005688113825,0.02535257248190618,0.3760728968000074,0.42728120622951604,0.3193506119402974,-0.2655941958758059,0.607281042496719,0.026586974577745726,0.10915518658853512,0.7061891409182358,0.13272710993466239,0.31656878953039264,0.48839738840539226,0.4097100335531101,-0.11238555174118775,-0.1371697745147357,0.9775341443298051,0.35570638025856116,0.7987295979810337,0.13345326212659933,1.0,0.9887587337581589,0.961923272080123,0.8424935694921076,-0.26293152587854896,-0.1713074356668855,0.39838391986919064,-0.23042187837727682,0.31442998057498805
Baglanti kopma sorunu_Memnunum,0.1609196845960911,0.03262907289016346,0.3969330110813552,0.4425021603399658,0.33324639871349365,-0.2510913075817367,0.5875650297648789,0.03409640165141544,0.12699639853510267,0.7248183688842813,0.14851615674479363,0.3160217688176815,0.5182250992237362,0.4184249156136433,-0.1319321658058803,-0.14633930183052057,0.9855430643366527,0.3628619582572898,0.8122171930674484,0.13487201311658237,0.9887587337581589,1.0,0.9725815488130874,0.8592472334102932,-0.26096669058732336,-0.16125125136280477,0.4190052819555346,-0.24421394004009084,0.29639751601481534
Müsteri Hizmetleri_Memnunum,0.19588969885763727,0.06459928743710376,0.3802673026185876,0.4093518617219794,0.28488730931845185,-0.2064991139623124,0.5777289094876027,0.02102294340131151,0.10551166161826721,0.6926539126142275,0.10883820387241357,0.37717725441206845,0.48959656069429364,0.39702898465418207,-0.15435124809738704,-0.18064413879540966,0.9840916090882302,0.33190736077119193,0.8271822799941945,0.160696065546903,0.961923272080123,0.9725815488130874,1.0,0.8756295605530837,-0.2799651189085071,-0.11801855393667104,0.3822840848091877,-0.2766419928862193,0.22572233339013953
Evcil Hayvan_Var,0.010878609139621012,-0.10028768587374849,0.29100179837499524,0.3389141786554954,0.4333254161013018,-0.12370038226424239,0.6315046101502017,0.07863811207053623,0.09574816793918067,0.5971660004774147,0.07192210725767337,0.20637076904387536,0.4455739555565232,0.32948370163902535,-0.05809012377308214,-0.09725240164956492,0.8769880416441058,0.1803994771989507,0.72349884319831,-0.07764664215663636,0.8424935694921076,0.8592472334102932,0.8756295605530837,1.0,-0.37439665077656176,-0.27917671732852734,0.31818003094040787,-0.12457318508408045,0.4046011844604471
Sosyal Yardim Alma_Evet,-0.07314436276296539,-0.1855195286463171,0.5562251371231746,0.5435279706391336,0.09969149245165786,-0.3530291027889922,-0.2824092468249535,0.4163248573552513,0.5347551117888346,0.2933490975008653,0.6998244972448473,-0.28315602902761416,0.4014417266466693,0.5281924851844731,0.12058476722278332,0.1645281242942401,-0.2798234014015282,0.6109472277998222,-0.27564479139745846,0.591418415783609,-0.26293152587854896,-0.26096669058732336,-0.2799651189085071,-0.37439665077656176,1.0,0.44069814495907694,0.44083697940370986,-0.3385966424968157,-0.3004574087183747
Ortalama Hanehalki Büyüklügü 2023,-0.02202242061514364,-0.16354910679703907,0.47821373738453293,0.12861535243040523,0.11287656455202418,-0.33444746287815885,-0.11413704942172893,0.4666859214520028,0.14257864041955146,0.10581614031273141,0.3789007004694678,-0.034746528505752806,0.182663214358915,0.27924282933110806,0.03051302496250763,0.032044839765029164,-0.15645005155609035,0.10430741476948027,0.04109349296431866,0.31132735660094796,-0.1713074356668855,-0.16125125136280477,-0.11801855393667104,-0.27917671732852734,0.44069814495907694,1.0,0.28867722372611276,-0.7133046328425799,-0.7523199552729393
EvselAtik,0.1960590055753241,-0.07955003133223801,0.9208397764645373,0.8577340837163434,0.641107288139324,-0.5170560985711982,0.18015375221959018,0.7114115688336891,0.7600422576080639,0.8176206259144383,0.856306936966596,-0.06025061710285936,0.8438382928007117,0.9446732435565592,-0.04908209957026306,-0.017507834509018154,0.4202510414458217,0.595512122009314,0.43136681272243643,0.1661001964871949,0.39838391986919064,0.4190052819555346,0.3822840848091877,0.31818003094040787,0.44083697940370986,0.28867722372611276,1.0,-0.3464131562706649,-0.0727496989221107
EvselAtik_kisibasi,0.14141933021410805,0.36251948560140607,-0.6073179876053258,-0.379716500871818,-0.2588488607007711,0.40417847899229536,-0.047994838054146685,-0.41906139943447673,-0.2556555718493485,-0.44918990118195395,-0.4611345557264224,0.010794611399431801,-0.5035198083231429,-0.3852918093154181,-0.28245859708111687,-0.3030109554120928,-0.2594176097869222,-0.21405615922013496,-0.2377074102723823,-0.3502020011713545,-0.23042187837727682,-0.24421394004009084,-0.2766419928862193,-0.12457318508408045,-0.3385966424968157,-0.7133046328425799,-0.3464131562706649,1.0,0.39825364665926427
Average of SES,-0.11103576045908178,-0.03018561375928079,-0.2233004404346473,-0.03792024809908589,0.24570193281614255,0.02282569574541955,0.31558631167005763,-0.2580017638993369,-0.048971881068134854,0.0856734328292929,-0.1954246939799623,-0.09599391245273572,0.057625269471482825,-0.12029397021846726,0.233227134865248,0.26701140962938735,0.27587845633693314,-0.0016900898328442062,0.09129465080759172,-0.32380187360275187,0.31442998057498805,0.29639751601481534,0.22572233339013953,0.4046011844604471,-0.3004574087183747,-0.7523199552729393,-0.0727496989221107,0.39825364665926427,1.0
